Date,Category,Type,Amount (USD),Description
2024-11-27,Rent,Expense,2336,Random rent transaction
2024-06-04,Insurance,Expense,3426,Random insurance transaction
2024-05-02,Freelance Income,Income,2707,Random freelance income transaction
2024-01-26,Insurance,Expense,4318,Random insurance transaction
2024-11-17,Rent,Expense,4357,Random rent transaction
2024-05-29,Entertainment,Expense,1769,Random entertainment transaction
2024-07-02,Miscellaneous,Expense,2018,Random miscellaneous transaction
2024-07-30,Utilities,Expense,1305,Random utilities transaction
2024-01-18,Miscellaneous,Expense,674,Random miscellaneous transaction
2024-07-05,Savings,Goal,470,Random savings transaction
2024-09-06,Rent,Expense,1607,Random rent transaction
2024-03-22,Freelance Income,Income,3161,Random freelance income transaction
2024-12-02,Insurance,Expense,1775,Random insurance transaction
2024-08-24,Dining Out,Expense,2045,Random dining out transaction
2024-11-17,Utilities,Expense,698,Random utilities transaction
2024-10-08,Salary,Income,5773,Random salary transaction
2024-05-25,Rent,Expense,529,Random rent transaction
2024-08-25,Insurance,Expense,2105,Random insurance transaction
2024-10-02,Savings,Goal,6087,Random savings transaction
2024-02-24,Entertainment,Expense,1448,Random entertainment transaction
2024-02-20,Groceries,Expense,938,Random groceries transaction
2024-07-03,Miscellaneous,Expense,326,Random miscellaneous transaction
2024-10-01,Insurance,Expense,1937,Random insurance transaction
2024-08-16,Miscellaneous,Expense,3580,Random miscellaneous transaction
2024-09-18,Freelance Income,Income,7186,Random freelance income transaction
2024-06-05,Miscellaneous,Expense,21,Random miscellaneous transaction
2024-02-26,Dining Out,Expense,1212,Random dining out transaction
2024-07-09,Savings,Goal,1533,Random savings transaction
2024-03-29,Salary,Income,2093,Random salary transaction
2024-06-21,Savings,Goal,3799,Random savings transaction
2024-11-12,Loan Payment,Expense,4286,Random loan payment transaction
2024-10-20,Loan Payment,Expense,1835,Random loan payment transaction
2024-08-24,Utilities,Expense,4766,Random utilities transaction
2024-12-06,Salary,Income,9501,Random salary transaction
2024-03-15,Groceries,Expense,3952,Random groceries transaction
2024-01-16,Insurance,Expense,683,Random insurance transaction
2024-10-31,Dining Out,Expense,1328,Random dining out transaction
2024-02-05,Miscellaneous,Expense,529,Random miscellaneous transaction
2024-03-12,Miscellaneous,Expense,2262,Random miscellaneous transaction
2025-01-01,Freelance Income,Income,9864,Random freelance income transaction
2024-05-29,Insurance,Expense,2650,Random insurance transaction
2024-05-13,Entertainment,Expense,2094,Random entertainment transaction
2024-04-14,Rent,Expense,62,Random rent transaction
2024-10-23,Loan Payment,Expense,2037,Random loan payment transaction
2024-08-29,Entertainment,Expense,3328,Random entertainment transaction
2024-06-11,Insurance,Expense,3778,Random insurance transaction
2024-12-10,Salary,Income,9452,Random salary transaction
2024-07-25,Transportation,Expense,3305,Random transportation transaction
2024-11-27,Savings,Goal,323,Random savings transaction
2024-08-30,Dining Out,Expense,3111,Random dining out transaction
2024-01-07,Loan Payment,Expense,2403,Random loan payment transaction
2024-01-12,Insurance,Expense,1723,Random insurance transaction
2024-05-20,Insurance,Expense,4059,Random insurance transaction
2024-02-02,Miscellaneous,Expense,3222,Random miscellaneous transaction
2024-02-23,Insurance,Expense,2684,Random insurance transaction
2024-07-11,Utilities,Expense,3933,Random utilities transaction
2024-03-22,Dining Out,Expense,1278,Random dining out transaction
2024-03-19,Groceries,Expense,2190,Random groceries transaction
2024-04-05,Loan Payment,Expense,4188,Random loan payment transaction
2024-07-03,Loan Payment,Expense,1406,Random loan payment transaction
2024-08-13,Miscellaneous,Expense,4588,Random miscellaneous transaction
2024-05-19,Dining Out,Expense,3285,Random dining out transaction
2024-08-06,Miscellaneous,Expense,3562,Random miscellaneous transaction
2024-01-07,Miscellaneous,Expense,2613,Random miscellaneous transaction
2024-10-21,Loan Payment,Expense,2890,Random loan payment transaction
2024-09-02,Utilities,Expense,4222,Random utilities transaction
2024-07-06,Miscellaneous,Expense,28,Random miscellaneous transaction
2024-11-25,Transportation,Expense,731,Random transportation transaction
2024-05-19,Miscellaneous,Expense,194,Random miscellaneous transaction
2024-03-07,Salary,Income,4375,Random salary transaction
2024-02-04,Groceries,Expense,4007,Random groceries transaction
2024-06-22,Loan Payment,Expense,3111,Random loan payment transaction
2024-04-07,Entertainment,Expense,4238,Random entertainment transaction
2024-09-16,Miscellaneous,Expense,1979,Random miscellaneous transaction
2024-07-24,Loan Payment,Expense,1592,Random loan payment transaction
2024-07-15,Insurance,Expense,4938,Random insurance transaction
2024-06-04,Transportation,Expense,4111,Random transportation transaction
2024-02-20,Savings,Goal,9494,Random savings transaction
2024-10-25,Freelance Income,Income,5239,Random freelance income transaction
2024-06-29,Utilities,Expense,2203,Random utilities transaction
2024-12-07,Rent,Expense,4136,Random rent transaction
2024-12-15,Insurance,Expense,2577,Random insurance transaction
2024-01-07,Entertainment,Expense,1183,Random entertainment transaction
2024-09-04,Utilities,Expense,3580,Random utilities transaction
2024-06-20,Transportation,Expense,4199,Random transportation transaction
2024-12-30,Savings,Goal,1697,Random savings transaction
2024-05-22,Salary,Income,9964,Random salary transaction
2024-01-07,Entertainment,Expense,3957,Random entertainment transaction
2024-04-10,Freelance Income,Income,6915,Random freelance income transaction
2024-08-24,Groceries,Expense,1305,Random groceries transaction
2024-07-19,Miscellaneous,Expense,648,Random miscellaneous transaction
2024-09-20,Utilities,Expense,1327,Random utilities transaction
2024-07-11,Entertainment,Expense,4106,Random entertainment transaction
2024-02-05,Entertainment,Expense,1005,Random entertainment transaction
2024-12-19,Freelance Income,Income,7331,Random freelance income transaction
2024-11-19,Loan Payment,Expense,3343,Random loan payment transaction
2024-06-04,Savings,Goal,2537,Random savings transaction
2024-07-31,Groceries,Expense,410,Random groceries transaction
2024-10-22,Loan Payment,Expense,3305,Random loan payment transaction
2024-07-02,Transportation,Expense,1783,Random transportation transaction
2024-08-22,Dining Out,Expense,3184,Random dining out transaction
2024-01-17,Transportation,Expense,4770,Random transportation transaction
2024-08-09,Loan Payment,Expense,2749,Random loan payment transaction
2024-11-07,Insurance,Expense,600,Random insurance transaction
2024-07-10,Salary,Income,2912,Random salary transaction
2024-11-06,Loan Payment,Expense,3954,Random loan payment transaction
2024-10-22,Salary,Income,7139,Random salary transaction
2024-12-31,Rent,Expense,483,Random rent transaction
2024-03-31,Groceries,Expense,2055,Random groceries transaction
2024-08-01,Miscellaneous,Expense,1918,Random miscellaneous transaction
2024-02-24,Groceries,Expense,4255,Random groceries transaction
2024-10-26,Utilities,Expense,4298,Random utilities transaction
2024-11-03,Savings,Goal,4721,Random savings transaction
2024-08-11,Entertainment,Expense,4852,Random entertainment transaction
2024-12-11,Freelance Income,Income,2530,Random freelance income transaction
2024-05-20,Transportation,Expense,3882,Random transportation transaction
2024-08-02,Dining Out,Expense,218,Random dining out transaction
2024-12-01,Savings,Goal,3069,Random savings transaction
2024-06-05,Insurance,Expense,4982,Random insurance transaction
2024-12-12,Savings,Goal,606,Random savings transaction
2024-05-18,Utilities,Expense,2659,Random utilities transaction
2024-02-04,Loan Payment,Expense,4399,Random loan payment transaction
2024-02-19,Utilities,Expense,564,Random utilities transaction
2024-06-15,Insurance,Expense,953,Random insurance transaction
2024-04-30,Miscellaneous,Expense,419,Random miscellaneous transaction
2024-08-31,Freelance Income,Income,635,Random freelance income transaction
2024-05-15,Utilities,Expense,2469,Random utilities transaction
2024-08-16,Freelance Income,Income,7897,Random freelance income transaction
2024-01-29,Entertainment,Expense,4738,Random entertainment transaction
2024-12-13,Entertainment,Expense,2560,Random entertainment transaction
2024-11-09,Freelance Income,Income,5366,Random freelance income transaction
2024-09-26,Entertainment,Expense,1676,Random entertainment transaction
2024-05-07,Miscellaneous,Expense,1156,Random miscellaneous transaction
2024-09-12,Salary,Income,4608,Random salary transaction
2024-04-22,Miscellaneous,Expense,183,Random miscellaneous transaction
2024-04-24,Dining Out,Expense,3142,Random dining out transaction
2024-11-05,Utilities,Expense,3078,Random utilities transaction
2024-01-12,Insurance,Expense,3053,Random insurance transaction
2024-09-16,Transportation,Expense,93,Random transportation transaction
2024-06-24,Loan Payment,Expense,2838,Random loan payment transaction
2024-03-15,Transportation,Expense,4874,Random transportation transaction
2024-10-18,Dining Out,Expense,2396,Random dining out transaction
2024-11-20,Freelance Income,Income,8766,Random freelance income transaction
2024-12-04,Freelance Income,Income,828,Random freelance income transaction
2024-09-13,Entertainment,Expense,3215,Random entertainment transaction
2024-09-14,Freelance Income,Income,8893,Random freelance income transaction
2024-05-28,Insurance,Expense,3710,Random insurance transaction
2025-01-01,Entertainment,Expense,3944,Random entertainment transaction
2024-08-25,Savings,Goal,696,Random savings transaction
2024-12-17,Freelance Income,Income,538,Random freelance income transaction
2024-01-25,Loan Payment,Expense,3912,Random loan payment transaction
2024-03-21,Insurance,Expense,3430,Random insurance transaction
2024-07-05,Rent,Expense,2479,Random rent transaction
2024-10-20,Entertainment,Expense,4388,Random entertainment transaction
2024-03-22,Freelance Income,Income,8608,Random freelance income transaction
2024-11-26,Salary,Income,5412,Random salary transaction
2024-09-08,Savings,Goal,2859,Random savings transaction
2024-07-16,Insurance,Expense,261,Random insurance transaction
2024-09-09,Dining Out,Expense,283,Random dining out transaction
2024-05-17,Transportation,Expense,1208,Random transportation transaction
2024-04-01,Utilities,Expense,359,Random utilities transaction
2024-05-10,Transportation,Expense,204,Random transportation transaction
2024-07-09,Rent,Expense,433,Random rent transaction
2024-01-26,Freelance Income,Income,5774,Random freelance income transaction
2024-07-27,Savings,Goal,7110,Random savings transaction
2024-03-22,Loan Payment,Expense,1232,Random loan payment transaction
2024-08-01,Transportation,Expense,3969,Random transportation transaction
2024-05-18,Utilities,Expense,3763,Random utilities transaction
2024-11-17,Freelance Income,Income,9441,Random freelance income transaction
2024-03-01,Miscellaneous,Expense,332,Random miscellaneous transaction
2024-04-27,Entertainment,Expense,3244,Random entertainment transaction
2024-10-26,Salary,Income,7143,Random salary transaction
2024-03-03,Rent,Expense,1627,Random rent transaction
2024-10-08,Salary,Income,5415,Random salary transaction
2024-12-22,Utilities,Expense,3657,Random utilities transaction
2024-05-31,Insurance,Expense,4507,Random insurance transaction
2024-11-27,Savings,Goal,5196,Random savings transaction
2024-02-28,Rent,Expense,914,Random rent transaction
2024-01-29,Insurance,Expense,1557,Random insurance transaction
2024-04-01,Freelance Income,Income,2460,Random freelance income transaction
2024-04-11,Freelance Income,Income,4272,Random freelance income transaction
2024-08-12,Savings,Goal,1380,Random savings transaction
2024-08-21,Utilities,Expense,2706,Random utilities transaction
2024-07-02,Loan Payment,Expense,4855,Random loan payment transaction
2024-10-20,Savings,Goal,9696,Random savings transaction
2024-06-15,Utilities,Expense,4938,Random utilities transaction
2024-11-05,Entertainment,Expense,2170,Random entertainment transaction
2024-03-31,Loan Payment,Expense,2799,Random loan payment transaction
2024-07-16,Salary,Income,203,Random salary transaction
2024-01-26,Savings,Goal,5715,Random savings transaction
2024-01-17,Savings,Goal,2837,Random savings transaction
2024-06-04,Savings,Goal,5494,Random savings transaction
2024-02-22,Utilities,Expense,2237,Random utilities transaction
2024-01-27,Dining Out,Expense,832,Random dining out transaction
2024-01-08,Salary,Income,6888,Random salary transaction
2024-04-01,Entertainment,Expense,1842,Random entertainment transaction
2024-02-28,Freelance Income,Income,1681,Random freelance income transaction
2024-05-01,Entertainment,Expense,1391,Random entertainment transaction
2024-09-02,Rent,Expense,1493,Random rent transaction
2024-08-26,Dining Out,Expense,442,Random dining out transaction
2024-06-29,Groceries,Expense,2184,Random groceries transaction
2024-12-27,Loan Payment,Expense,3469,Random loan payment transaction
2024-04-09,Loan Payment,Expense,3760,Random loan payment transaction
2024-02-24,Utilities,Expense,1347,Random utilities transaction
2024-10-04,Savings,Goal,2887,Random savings transaction
2024-06-14,Salary,Income,2832,Random salary transaction
2024-06-18,Groceries,Expense,2334,Random groceries transaction
2024-12-04,Entertainment,Expense,3282,Random entertainment transaction
2024-08-14,Salary,Income,765,Random salary transaction
2024-02-21,Dining Out,Expense,3448,Random dining out transaction
2024-03-20,Transportation,Expense,4501,Random transportation transaction
2024-12-18,Utilities,Expense,3669,Random utilities transaction
2024-12-19,Utilities,Expense,2115,Random utilities transaction
2024-08-21,Miscellaneous,Expense,2875,Random miscellaneous transaction
2024-07-29,Rent,Expense,4503,Random rent transaction
2024-04-19,Rent,Expense,2389,Random rent transaction
2024-11-26,Savings,Goal,5655,Random savings transaction
2024-03-12,Salary,Income,9310,Random salary transaction
2024-03-29,Groceries,Expense,4212,Random groceries transaction
2024-04-11,Miscellaneous,Expense,939,Random miscellaneous transaction
2024-03-27,Savings,Goal,8571,Random savings transaction
2024-03-05,Savings,Goal,1026,Random savings transaction
2024-06-21,Dining Out,Expense,1557,Random dining out transaction
2024-02-03,Miscellaneous,Expense,1718,Random miscellaneous transaction
2024-10-18,Entertainment,Expense,3030,Random entertainment transaction
2024-05-04,Freelance Income,Income,6596,Random freelance income transaction
2024-09-11,Freelance Income,Income,923,Random freelance income transaction
2024-05-25,Dining Out,Expense,541,Random dining out transaction
2024-05-23,Savings,Goal,9794,Random savings transaction
2024-01-09,Freelance Income,Income,1850,Random freelance income transaction
2024-04-03,Dining Out,Expense,4715,Random dining out transaction
2024-11-07,Rent,Expense,2035,Random rent transaction
2024-03-13,Loan Payment,Expense,2738,Random loan payment transaction
2024-06-13,Utilities,Expense,4326,Random utilities transaction
2024-03-06,Groceries,Expense,2437,Random groceries transaction
2024-03-02,Groceries,Expense,1017,Random groceries transaction
2024-03-13,Insurance,Expense,218,Random insurance transaction
2024-05-16,Savings,Goal,6311,Random savings transaction
2024-12-28,Entertainment,Expense,2728,Random entertainment transaction
2024-01-26,Transportation,Expense,1807,Random transportation transaction
2024-08-22,Loan Payment,Expense,4699,Random loan payment transaction
2024-10-10,Utilities,Expense,1248,Random utilities transaction
2024-10-11,Salary,Income,9826,Random salary transaction
2024-11-15,Transportation,Expense,1051,Random transportation transaction
2024-06-26,Insurance,Expense,3200,Random insurance transaction
2024-09-14,Transportation,Expense,3465,Random transportation transaction
2024-11-27,Insurance,Expense,1291,Random insurance transaction
2024-03-27,Entertainment,Expense,2386,Random entertainment transaction
2024-04-07,Rent,Expense,1813,Random rent transaction
2024-07-25,Insurance,Expense,4513,Random insurance transaction
2024-09-05,Utilities,Expense,3416,Random utilities transaction
2024-04-16,Insurance,Expense,372,Random insurance transaction
2024-04-16,Salary,Income,4864,Random salary transaction
2024-06-26,Insurance,Expense,674,Random insurance transaction
2024-05-26,Savings,Goal,958,Random savings transaction
2024-10-17,Loan Payment,Expense,536,Random loan payment transaction
2024-02-11,Salary,Income,1244,Random salary transaction
2024-03-05,Miscellaneous,Expense,1469,Random miscellaneous transaction
2024-01-12,Entertainment,Expense,293,Random entertainment transaction
2024-02-08,Loan Payment,Expense,2532,Random loan payment transaction
2024-06-24,Savings,Goal,3108,Random savings transaction
2024-11-03,Dining Out,Expense,1211,Random dining out transaction
2024-02-05,Rent,Expense,1508,Random rent transaction
2024-11-04,Freelance Income,Income,3735,Random freelance income transaction
2024-04-23,Groceries,Expense,3593,Random groceries transaction
2024-02-22,Freelance Income,Income,2081,Random freelance income transaction
2024-08-02,Entertainment,Expense,4250,Random entertainment transaction
2024-08-29,Utilities,Expense,2067,Random utilities transaction
2024-05-06,Rent,Expense,1492,Random rent transaction
2024-08-16,Utilities,Expense,3440,Random utilities transaction
2024-02-09,Utilities,Expense,107,Random utilities transaction
2024-02-02,Entertainment,Expense,1421,Random entertainment transaction
2024-05-26,Miscellaneous,Expense,2135,Random miscellaneous transaction
2024-02-27,Groceries,Expense,134,Random groceries transaction
2024-05-06,Miscellaneous,Expense,4514,Random miscellaneous transaction
2024-09-16,Insurance,Expense,4897,Random insurance transaction
2024-07-22,Entertainment,Expense,3405,Random entertainment transaction
2024-11-10,Transportation,Expense,974,Random transportation transaction
2024-06-22,Dining Out,Expense,3905,Random dining out transaction
2024-06-06,Dining Out,Expense,361,Random dining out transaction
2024-12-31,Savings,Goal,4093,Random savings transaction
2024-06-24,Transportation,Expense,848,Random transportation transaction
2024-12-09,Miscellaneous,Expense,2686,Random miscellaneous transaction
2024-06-13,Loan Payment,Expense,2094,Random loan payment transaction
2024-04-23,Miscellaneous,Expense,687,Random miscellaneous transaction
2024-01-27,Freelance Income,Income,3161,Random freelance income transaction
2024-03-20,Rent,Expense,4679,Random rent transaction
2024-09-01,Groceries,Expense,2911,Random groceries transaction
2024-07-27,Freelance Income,Income,3638,Random freelance income transaction
2024-06-17,Utilities,Expense,811,Random utilities transaction
2024-05-29,Rent,Expense,2496,Random rent transaction
2024-05-15,Loan Payment,Expense,1822,Random loan payment transaction
2024-09-01,Entertainment,Expense,1238,Random entertainment transaction
2024-10-01,Rent,Expense,1452,Random rent transaction
2024-05-08,Dining Out,Expense,1790,Random dining out transaction
2024-11-29,Salary,Income,5272,Random salary transaction
2024-11-27,Rent,Expense,1237,Random rent transaction
2024-06-06,Insurance,Expense,3358,Random insurance transaction
2024-03-07,Miscellaneous,Expense,4350,Random miscellaneous transaction
2024-05-17,Loan Payment,Expense,367,Random loan payment transaction
2024-12-29,Freelance Income,Income,5657,Random freelance income transaction
2024-05-01,Dining Out,Expense,2750,Random dining out transaction
2024-02-29,Savings,Goal,6929,Random savings transaction
2024-08-17,Transportation,Expense,4707,Random transportation transaction
2024-01-06,Entertainment,Expense,2235,Random entertainment transaction
2024-05-02,Utilities,Expense,2890,Random utilities transaction
2024-03-06,Utilities,Expense,3645,Random utilities transaction
2024-12-04,Insurance,Expense,857,Random insurance transaction
2024-07-02,Insurance,Expense,31,Random insurance transaction
2024-10-08,Dining Out,Expense,698,Random dining out transaction
2024-10-31,Transportation,Expense,509,Random transportation transaction
2024-03-24,Salary,Income,6247,Random salary transaction
2024-06-30,Rent,Expense,1231,Random rent transaction
2024-12-10,Miscellaneous,Expense,2281,Random miscellaneous transaction
2024-01-05,Insurance,Expense,393,Random insurance transaction
2024-01-15,Loan Payment,Expense,309,Random loan payment transaction
2024-05-19,Utilities,Expense,633,Random utilities transaction
2024-08-01,Entertainment,Expense,4566,Random entertainment transaction
2024-10-08,Miscellaneous,Expense,874,Random miscellaneous transaction
2024-04-10,Loan Payment,Expense,4600,Random loan payment transaction
2024-07-30,Freelance Income,Income,3594,Random freelance income transaction
2024-07-02,Groceries,Expense,972,Random groceries transaction
2024-09-20,Rent,Expense,3174,Random rent transaction
2024-01-13,Transportation,Expense,1371,Random transportation transaction
2024-05-23,Entertainment,Expense,3242,Random entertainment transaction
2024-03-01,Rent,Expense,2966,Random rent transaction
2024-01-09,Savings,Goal,3356,Random savings transaction
2024-09-08,Salary,Income,6622,Random salary transaction
2024-11-08,Dining Out,Expense,2384,Random dining out transaction
2024-06-25,Utilities,Expense,1402,Random utilities transaction
2024-02-09,Freelance Income,Income,2080,Random freelance income transaction
2024-08-03,Transportation,Expense,3094,Random transportation transaction
2024-03-29,Groceries,Expense,4437,Random groceries transaction
2024-04-01,Loan Payment,Expense,3174,Random loan payment transaction
2024-10-03,Groceries,Expense,1872,Random groceries transaction
2024-02-08,Miscellaneous,Expense,1793,Random miscellaneous transaction
2024-11-16,Transportation,Expense,4736,Random transportation transaction
2024-08-01,Salary,Income,2077,Random salary transaction
2024-03-24,Freelance Income,Income,5761,Random freelance income transaction
2024-03-21,Loan Payment,Expense,288,Random loan payment transaction
2024-08-31,Loan Payment,Expense,4122,Random loan payment transaction
2024-11-28,Groceries,Expense,3894,Random groceries transaction
2024-11-13,Rent,Expense,4056,Random rent transaction
2024-01-28,Entertainment,Expense,1115,Random entertainment transaction
2024-01-31,Savings,Goal,9083,Random savings transaction
2024-07-22,Utilities,Expense,1397,Random utilities transaction
2024-03-24,Salary,Income,7949,Random salary transaction
2024-10-28,Rent,Expense,4836,Random rent transaction
2024-05-01,Freelance Income,Income,3790,Random freelance income transaction
2024-05-08,Utilities,Expense,1509,Random utilities transaction
2024-11-16,Loan Payment,Expense,1160,Random loan payment transaction
2024-08-07,Insurance,Expense,1142,Random insurance transaction
2024-01-26,Freelance Income,Income,1308,Random freelance income transaction
2024-07-19,Dining Out,Expense,680,Random dining out transaction
2024-03-31,Rent,Expense,3473,Random rent transaction
2024-10-11,Insurance,Expense,4430,Random insurance transaction
2024-06-28,Dining Out,Expense,3917,Random dining out transaction
2024-12-29,Savings,Goal,7544,Random savings transaction
2024-03-10,Entertainment,Expense,1848,Random entertainment transaction
2024-07-24,Entertainment,Expense,3210,Random entertainment transaction
2024-07-31,Dining Out,Expense,2921,Random dining out transaction
2024-05-15,Insurance,Expense,3211,Random insurance transaction
2024-04-02,Rent,Expense,3841,Random rent transaction
2024-04-26,Utilities,Expense,2158,Random utilities transaction
2024-05-02,Salary,Income,4166,Random salary transaction
2024-03-30,Loan Payment,Expense,4818,Random loan payment transaction
2024-05-22,Insurance,Expense,3752,Random insurance transaction
2024-08-01,Dining Out,Expense,684,Random dining out transaction
2024-05-01,Miscellaneous,Expense,2387,Random miscellaneous transaction
2024-04-17,Freelance Income,Income,4789,Random freelance income transaction
2024-04-16,Savings,Goal,4742,Random savings transaction
2024-10-22,Groceries,Expense,1031,Random groceries transaction
2024-09-18,Rent,Expense,1846,Random rent transaction
2024-02-13,Utilities,Expense,2213,Random utilities transaction
2024-01-11,Salary,Income,3827,Random salary transaction
2024-07-10,Miscellaneous,Expense,3780,Random miscellaneous transaction
2024-07-18,Miscellaneous,Expense,1061,Random miscellaneous transaction
2024-08-25,Miscellaneous,Expense,1418,Random miscellaneous transaction
2024-05-03,Rent,Expense,4070,Random rent transaction
2024-03-20,Miscellaneous,Expense,4646,Random miscellaneous transaction
2024-09-21,Savings,Goal,3991,Random savings transaction
2024-05-02,Dining Out,Expense,2810,Random dining out transaction
2024-11-11,Miscellaneous,Expense,11,Random miscellaneous transaction
2024-08-29,Savings,Goal,6689,Random savings transaction
2024-11-22,Dining Out,Expense,1530,Random dining out transaction
2024-09-14,Miscellaneous,Expense,2324,Random miscellaneous transaction
2024-12-05,Rent,Expense,2828,Random rent transaction
2024-01-15,Entertainment,Expense,2551,Random entertainment transaction
2024-06-02,Insurance,Expense,1320,Random insurance transaction
2024-05-13,Transportation,Expense,1641,Random transportation transaction
2024-05-13,Rent,Expense,3860,Random rent transaction
2024-08-19,Transportation,Expense,2374,Random transportation transaction
2024-01-13,Freelance Income,Income,8431,Random freelance income transaction
2024-03-07,Entertainment,Expense,3965,Random entertainment transaction
2024-06-23,Entertainment,Expense,2344,Random entertainment transaction
2024-01-23,Freelance Income,Income,2092,Random freelance income transaction
2024-02-16,Rent,Expense,4274,Random rent transaction
2024-06-18,Rent,Expense,3180,Random rent transaction
2024-02-17,Insurance,Expense,4720,Random insurance transaction
2024-12-23,Insurance,Expense,910,Random insurance transaction
2024-07-17,Dining Out,Expense,442,Random dining out transaction
2024-03-20,Utilities,Expense,2854,Random utilities transaction
2024-01-22,Dining Out,Expense,1121,Random dining out transaction
2024-10-07,Miscellaneous,Expense,2798,Random miscellaneous transaction
2024-08-22,Freelance Income,Income,3861,Random freelance income transaction
2024-12-02,Miscellaneous,Expense,2775,Random miscellaneous transaction
2024-03-09,Utilities,Expense,1053,Random utilities transaction
2024-08-29,Miscellaneous,Expense,2811,Random miscellaneous transaction
2024-11-03,Loan Payment,Expense,3864,Random loan payment transaction
2024-10-01,Miscellaneous,Expense,141,Random miscellaneous transaction
2024-04-01,Utilities,Expense,1779,Random utilities transaction
2024-11-12,Savings,Goal,6921,Random savings transaction
2024-07-21,Groceries,Expense,457,Random groceries transaction
2024-07-02,Miscellaneous,Expense,117,Random miscellaneous transaction
2024-10-29,Rent,Expense,3437,Random rent transaction
2024-11-16,Freelance Income,Income,4585,Random freelance income transaction
2024-05-28,Insurance,Expense,2949,Random insurance transaction
2024-01-15,Utilities,Expense,4377,Random utilities transaction
2024-06-22,Transportation,Expense,734,Random transportation transaction
2024-07-23,Savings,Goal,8094,Random savings transaction
2024-04-19,Insurance,Expense,4722,Random insurance transaction
2024-12-28,Savings,Goal,7031,Random savings transaction
2024-06-25,Miscellaneous,Expense,4913,Random miscellaneous transaction
2024-12-14,Transportation,Expense,3676,Random transportation transaction
2024-07-18,Transportation,Expense,4896,Random transportation transaction
2024-04-29,Rent,Expense,1480,Random rent transaction
2024-05-24,Freelance Income,Income,5743,Random freelance income transaction
2024-08-03,Groceries,Expense,554,Random groceries transaction
2024-12-15,Transportation,Expense,874,Random transportation transaction
2024-08-06,Miscellaneous,Expense,3021,Random miscellaneous transaction
2024-11-05,Loan Payment,Expense,4839,Random loan payment transaction
2024-02-20,Miscellaneous,Expense,3150,Random miscellaneous transaction
2024-07-18,Rent,Expense,707,Random rent transaction
2024-10-21,Salary,Income,3835,Random salary transaction
2024-09-21,Savings,Goal,1310,Random savings transaction
2024-10-02,Transportation,Expense,3939,Random transportation transaction
2024-04-20,Entertainment,Expense,1683,Random entertainment transaction
2024-01-22,Insurance,Expense,4128,Random insurance transaction
2024-11-26,Dining Out,Expense,1034,Random dining out transaction
2024-02-07,Transportation,Expense,4715,Random transportation transaction
2024-12-03,Loan Payment,Expense,1498,Random loan payment transaction
2024-08-09,Savings,Goal,6763,Random savings transaction
2024-10-16,Miscellaneous,Expense,953,Random miscellaneous transaction
2024-11-12,Rent,Expense,870,Random rent transaction
2024-03-30,Freelance Income,Income,7590,Random freelance income transaction
2024-10-23,Miscellaneous,Expense,4242,Random miscellaneous transaction
2024-05-16,Freelance Income,Income,4833,Random freelance income transaction
2024-10-14,Salary,Income,4460,Random salary transaction
2024-08-15,Miscellaneous,Expense,3732,Random miscellaneous transaction
2024-05-01,Miscellaneous,Expense,3380,Random miscellaneous transaction
2024-10-30,Freelance Income,Income,3167,Random freelance income transaction
2024-01-25,Savings,Goal,843,Random savings transaction
2024-03-28,Utilities,Expense,2454,Random utilities transaction
2024-08-25,Entertainment,Expense,4527,Random entertainment transaction
2024-07-08,Utilities,Expense,1837,Random utilities transaction
2024-07-26,Salary,Income,8941,Random salary transaction
2024-04-23,Loan Payment,Expense,2132,Random loan payment transaction
2024-07-27,Savings,Goal,269,Random savings transaction
2024-03-22,Groceries,Expense,1924,Random groceries transaction
2024-09-02,Rent,Expense,2982,Random rent transaction
2024-11-26,Savings,Goal,6804,Random savings transaction
2024-11-07,Transportation,Expense,955,Random transportation transaction
2024-07-09,Insurance,Expense,3696,Random insurance transaction
2024-02-16,Utilities,Expense,3537,Random utilities transaction
2024-03-28,Utilities,Expense,1712,Random utilities transaction
2024-09-11,Rent,Expense,980,Random rent transaction
2024-10-02,Insurance,Expense,895,Random insurance transaction
2024-07-28,Loan Payment,Expense,2245,Random loan payment transaction
2024-10-07,Loan Payment,Expense,3617,Random loan payment transaction
2024-06-22,Utilities,Expense,3532,Random utilities transaction
2024-11-12,Freelance Income,Income,4584,Random freelance income transaction
2024-08-08,Rent,Expense,11,Random rent transaction
2024-05-30,Entertainment,Expense,1403,Random entertainment transaction
2024-09-29,Rent,Expense,2449,Random rent transaction
2024-01-12,Transportation,Expense,2978,Random transportation transaction
2024-05-13,Loan Payment,Expense,2816,Random loan payment transaction
2024-09-01,Groceries,Expense,3134,Random groceries transaction
2024-07-27,Groceries,Expense,3257,Random groceries transaction
2024-02-20,Dining Out,Expense,3825,Random dining out transaction
2024-11-15,Transportation,Expense,2341,Random transportation transaction
2024-08-25,Insurance,Expense,4344,Random insurance transaction
2024-12-07,Transportation,Expense,1973,Random transportation transaction
2024-07-29,Freelance Income,Income,4932,Random freelance income transaction
2024-06-27,Savings,Goal,8841,Random savings transaction
2024-03-14,Savings,Goal,9646,Random savings transaction
2024-11-27,Freelance Income,Income,1252,Random freelance income transaction
2024-12-08,Rent,Expense,3869,Random rent transaction
2024-04-25,Freelance Income,Income,4513,Random freelance income transaction
2024-07-08,Transportation,Expense,1685,Random transportation transaction
